round,loss,accuracy,alpha0,method,repetition
117,2.77289,0.51625,0.9,fedasync,8
118,2.33413,0.60375,0.9,fedasync,8
119,2.15453,0.59,0.9,fedasync,8
120,2.43004,0.5525,0.9,fedasync,8
121,2.58897,0.54625,0.9,fedasync,8
122,2.6098,0.545,0.9,fedasync,8
123,2.34955,0.6175,0.9,fedasync,8
124,3.49711,0.51875,0.9,fedasync,8
125,1.96201,0.6225,0.9,fedasync,8
126,2.19525,0.605,0.9,fedasync,8
127,2.36704,0.54375,0.9,fedasync,8
128,2.16157,0.62875,0.9,fedasync,8
129,2.09906,0.60125,0.9,fedasync,8
130,2.88523,0.6,0.9,fedasync,8
131,3.17394,0.58875,0.9,fedasync,8
132,2.64217,0.5875,0.9,fedasync,8
133,3.15058,0.56625,0.9,fedasync,8
134,2.71393,0.58625,0.9,fedasync,8
135,2.256,0.6,0.9,fedasync,8
136,2.69343,0.6075,0.9,fedasync,8
137,3.54703,0.565,0.9,fedasync,8
138,3.83894,0.55625,0.9,fedasync,8
139,2.3129,0.6075,0.9,fedasync,8
140,2.98271,0.57125,0.9,fedasync,8
141,3.33591,0.50375,0.9,fedasync,8
142,2.37612,0.58875,0.9,fedasync,8
143,3.28796,0.5275,0.9,fedasync,8
144,3.19397,0.55,0.9,fedasync,8
145,2.11611,0.61625,0.9,fedasync,8
146,3.15957,0.55625,0.9,fedasync,8
147,3.45203,0.5325,0.9,fedasync,8
148,2.7392,0.6125,0.9,fedasync,8
149,2.68089,0.63,0.9,fedasync,8
150,3.02353,0.63,0.9,fedasync,8
1,4.32465,0.27875,,afl,9
2,2.42378,0.32375,,afl,9
3,2.33016,0.3775,,afl,9
4,2.06688,0.36125,,afl,9
5,1.86719,0.3925,,afl,9
6,1.81021,0.435,,afl,9
